name,level,section,type,link,pages,,,
خطوتك الأولى نحو فهم الاقتصاد,2,إقتصادي,1,https://www.osboha180.com/evaluation/books/75b.pdf,107,,,
التفكير السياسي والنطرية السياسية والمجتمع المدني,3,سياسي,1,https://www.osboha180.com/evaluation/books/92b.pdf,498,,,
فن الحرب,1,عسكري,1,https://www.osboha180.com/evaluation/books/93b.pdf,228,,,
كوتلر يتحدث عن التسويق,2,إقتصادي,1,https://www.osboha180.com/evaluation/books/94b.pdf,267,,,
القراءة السريعة,1,تنمية,1,https://www.osboha180.com/evaluation/books/95b.pdf,348,,,
أستطيع أن أرى بوضوح الآن,2,تنمية,1,https://www.osboha180.com/evaluation/books/99b.pdf,427,,,
ماذا خسر العالم بانحطاط المسلمين,3,فكري,1,https://www.osboha180.com/evaluation/books/Ali-Nadawi.pdf,264,,,
ابدأ بالأهم ولو كان صعباً,1,تنمية,1,https://www.osboha180.com/evaluation/books/100b.pdf,132,,,
ملهمون,1,تنمية,1,https://www.osboha180.com/evaluation/books/101b.pdf,254,,,
حديث المساء,1,أدبي,1,https://www.osboha180.com/evaluation/books/102b.pdf,284,,,
أول مرة أصلي وكان للصلاة طعم آخر,1,ديني,1,https://www.osboha180.com/evaluation/books/103b.pdf,110,,,
اني رزقت حبها,1,ديني,1,https://www.osboha180.com/evaluation/books/111b.pdf,84,,,
تأسيس عقلية الطفل,2,تربية,1,https://www.osboha180.com/evaluation/books/115b.pdf,170,,,
تحت راية القرآن,2,أدبي,1,https://www.osboha180.com/evaluation/books/116b.pdf,414,,,
من الصحوة إلى اليقظة استراتيجية الإدراك للحراك,3,فكري,1,https://www.osboha180.com/evaluation/books/117b.pdf,291,,,
القواعد الإستراتيجية في الصراع والتدافع الحضاري,3,فكري,1,https://www.osboha180.com/evaluation/books/118b.pdf,251,,,
فلسفة التاريخ الفكر الاستراتيجي في فهم التاريخ - جاسم محمد سلطان,3,فكري,1,https://www.osboha180.com/evaluation/books/119b.pdf,179,,,
الذاكرة التاريخية نحو وعى استراتيجى بالتاريخ,3,فكري,1,https://www.osboha180.com/evaluation/books/120b.pdf,183,,,
التفكير الاستراتيجي والخروج من المأزق الراهن,3,فكري,1,https://www.osboha180.com/evaluation/books/121b.pdf,339,,,
قواعد في الممارسة السياسية,2,سياسي,1,https://www.osboha180.com/evaluation/books/122b.pdf,171,,,
جيوبوليتيك - الجغرافيا والحلم العربي القادم,3,فكري,1,https://www.osboha180.com/evaluation/books/123b.pdf,210,,,
لحظة الإقلاع وتساؤلات المرحلة,3,فكري,1,https://www.osboha180.com/evaluation/books/124b.pdf,94,,,
27 خرافة شعبية عن القراءة,2,أدبي,1,https://www.osboha180.com/evaluation/books/128b.pdf,138,,,
العرب وجهة نظر يابانية,1,اجتماعي,1,https://www.osboha180.com/evaluation/books/129b.pdf,144,,,
مذكرات السلطان عبد الحميد,2,تاريخي,1,https://www.osboha180.com/evaluation/books/130b.pdf,318,,,
ابق قوياً,2,تنمية,1,https://www.osboha180.com/evaluation/books/131b.pdf,370,,,
تهذيب مدارج السالكين,3,ديني,1,https://www.osboha180.com/evaluation/books/133b.pdf,1168,,,
تعريف عام بدين الإسلام,1,ديني,1,https://www.osboha180.com/evaluation/books/134b.pdf,202,,,
كيف تفقد الشعوب المناعة ضد الاستبداد,3,تربية,1,https://www.osboha180.com/evaluation/books/135b.pdf,306,,,
مع النبي صلى الله عليه وسلم,1,أدبي,1,https://www.osboha180.com/evaluation/books/138b.pdf,122,,,
الداء والدواء (الجواب الكافي لمن سأل عن الدواء الشافي),2,ديني,1,https://www.osboha180.com/evaluation/books/139b.pdf,678,,,
إعجاز القرآن والبلاغة النبوية,2,ديني,1,https://www.osboha180.com/evaluation/books/140b.pdf,350,,,
تكوين المفكر,2,فكري,1,https://www.osboha180.com/evaluation/books/141b.pdf,255,,,
تجديد الفكر الديني في الإسلام,3,فكري,1,https://www.osboha180.com/evaluation/books/142b.pdf,388,,,
طبائع النساء وماجاء فيها من عجائب وغرائب وأخبار وأسرار,3,أدبي,1,https://www.osboha180.com/evaluation/books/143b.pdf,256,,,
المساكين,2,أدبي,1,https://www.osboha180.com/evaluation/books/144b.pdf,181,,,
100 عالم غيروا وجه العالم,1,علمي,1,https://www.osboha180.com/evaluation/books/538b.pdf,211,,,
الذاكرة (مقدمة قصيرة جداً),2,علمي,1,https://www.osboha180.com/evaluation/books/610b.pdf,133,,,
عصرنا و العيش في زمانه الصعب,2,اجتماعي,1,https://www.osboha180.com/evaluation/books/147b.pdf,382,,,
سحر الكلمة,1,اجتماعي,1,https://www.osboha180.com/evaluation/books/148b.pdf,102,,,
تاريخ الشام فى مطلع العهد العثماني,1,تاريخي,1,https://www.osboha180.com/evaluation/books/149b.pdf,434,,,
